name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/encoder/layer_10/attention/self/Reshape_kernel_time,Reshape,CPUExecutionProvider,1057,7,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_10/attention/self/Reshape_fence_after,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_fence_before,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_kernel_time,Transpose,CPUExecutionProvider,1058,34,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_10/attention/self/transpose_fence_after,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/key/MatMul_quant_fence_before,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/key/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1332,466,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_10/attention/self/key/MatMul_quant_fence_after,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Reshape_1_fence_before,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,1048,6,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_10/attention/self/Reshape_1_fence_after,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_1_fence_before,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_1_kernel_time,Transpose,CPUExecutionProvider,1049,35,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_10/attention/self/transpose_1_fence_after,Transpose,,,0,,,"""""",""""""
